Well;Fluor;Content;Sample.Name;Cq;SQ
F01;FAM;Unkn;WT1;22.72381687;6220
F02;FAM;Unkn;WT1;17.48944333;5962
F03;FAM;Unkn;WT2;22.72381687;13614.19381
F04;FAM;Unkn;WT2;17.48944333;700682.8092
F05;FAM;Unkn;WT3;24.17302116;4572.279293
F06;FAM;Unkn;WT3;21.10430949;46082.56211
F07;FAM;Unkn;SF1;20.39127722;78828.47098
F08;FAM;Unkn;SF1;18.81807082;257684.5329
F09;FAM;Unkn;SF2;18.96420262;230837.4886
F10;FAM;Unkn;SF2;19.08001021;211562.9951
F11;FAM;Unkn;SF3;20.00481512;105450.354
F12;FAM;Unkn;SF3;20.11785695;96846.90634
B01;FAM;Unkn;WT1;22.72381687;377503
B02;FAM;Unkn;WT1;17.48944333;247954
B03;FAM;Unkn;WT2;26.10891708;269944.81
B04;FAM;Unkn;WT2;26.85003855;163230.8467
B05;FAM;Unkn;WT3;27.47770731;106604.0819
B06;FAM;Unkn;WT3;27.23011504;126113.2568
B07;FAM;Unkn;SF1;28.29343384;61278.55352
B08;FAM;Unkn;SF1;27.30178889;120124.6798
B09;FAM;Unkn;SF2;26.96635881;150838.6263
B10;FAM;Unkn;SF2;26.864099;161680.4094
B11;FAM;Unkn;SF3;27.63901708;95548.05677
B12;FAM;Unkn;SF3;27.50561122;104603.9612
